Column,Description,Type,Example
EinheitMastrNummer,MaStR-Nummer der Einheit,string,SEE91234567890
DatumLetzeAktualisierung,Datum der letzten Aktualisierung an diesem Objekt,dateTime,2017-07-25T08:36:54.1004464
Name,Name der Einheit,string,"Solarpark 4, Einheit 17"
Einheitart,Art der Einheit,string,Stromerzeugungseinheit
Einheittyp,Typ der Einheit,string,Solareinheit
Standort,"Standort der Einheit: Land (falls nicht Deutschland), Postleitzahl, Ort, Straße, Hausnummer,			(falls Wind auf See: Seelage, Cluster)",string,Großer Weg 41 3912 Wien Österreich
Bruttoleistung,Buttoleistung der Einheit in kW,decimal,25000
Erzeugungsleistung,Leistung der Gaserzeugungseinheit,decimal,25000.002
EinheitBetriebsstatus,,string,
Anlagenbetreiber,Betreiber der Anlage.,string,ABR91234567890
EegMastrNummer,Angaben über optional zugeordnete EEG-Anlagen,string,EEG91234567890
KwkMastrNummer,Angaben über optional zugeordnete KWK-Anlagen,string,KWK91234567890
SpeMastrNummer,Angaben über optional zugeordnete Speicher,string,SPE91234567890
GenMastrNummer,Angaben über optional zugeordnete Genehmigungen,string,GEN91234567890
BestandsanlageMastrNummer_basic,Angaben über optional vorhandene MaStR-Nummer aus der Bestandsanlagenverwaltung,string,SEE91234567890
NichtVorhandenInMigriertenEinheiten,Angabe über das Nichtvorhandensein in den migrierten Einheiten,boolean,true
StatisikFlag_basic,"Angabe, in welcher Statistik, diese Einheit geführt wird. A = Einheit ignorieren, B = Einheit in Statistiken verwenden.",string,B
Hauptbrennstoff,Welcher Einsatzstoff oder Brennstoff wird hauptsächlich benutzt,string,Rinde
Biomasseart,Art der Biomasse,string,FesteBiomasse
Technologie,Technologie der Stromerzeugung,string,KalinaCycle
EegMastrNummer_extended,MaStR-Nummer der zugeordneten EEG-Anlage,string,EEG91234567890
KwkMastrNummer_extended,MaStR-Nummer der verknüpften KWK-Anlage,string,KWK91234567890
NameStromerzeugungseinheit,Vom Betreiber frei wählbare Bezeichnung der Stromerzeugungseinheit.,string,Windpark II Einheit 14
Weic,W-Code der Stromerzeugungseinheit,mastr:ErweiterterString,11XVE-SALESPK-P
WeicDisplayName,Displayname des W-EIC,string,VES-PK
Kraftwerksnummer,Bundesnetzagentur-Kraftwerksnummer,mastr:ErweiterterString,BNA0019
Energietraeger,Energieträger der Einheit,string,Wind
Bruttoleistung_extended,Bruttoleistung in kW,decimal,150.112
Nettonennleistung,Nettonennleistung in kW,decimal,148.987
AnschlussAnHoechstOderHochSpannung,Die Stromerzeugungseinheit ist an ein Höchst- oder Hochspannungsnetz angeschlossen,boolean,true
Schwarzstartfaehigkeit,Schwarzstartfähigkeit der Einheit,boolean,true
Inselbetriebsfaehigkeit,Inselbetriebsfähigkeit der Einheit,boolean,false
Einsatzverantwortlicher,Marktpartner-ID des Einsatzverantwortlichen,string,9900123000007
FernsteuerbarkeitNb,Fernsteuerbarkeit der Einheit durch einen Netzbetreiber,boolean,false
FernsteuerbarkeitDv,Fernsteuerbarkeit der Einheit durch einen Direktvermarkter,boolean,true
FernsteuerbarkeitDr,Fernsteuerbarkeit der Einheit durch Dritte,boolean,false
Einspeisungsart,Volleinspeisung oder Teileinspeisung,string,Volleinspeisung
PraequalifiziertFuerRegelenergie,Einheit ist für die Vorhaltung und Erbringung von Regelenergie präqualifiziert,boolean,true
GenMastrNummer_extended,MaStR-Nummer der zu dieser Einheit zugeordneten Genehmigung,string,GEN91234567890
EinheitMastrNummer_extended,MaStR-Nummer der Einheit,string,SEE91234567890
